ID_COMM;PARTITA_IVA_O_CF;BENEFICIARIO;COD_DIREZIONE;DIREZIONE_SERVIZIO_RESP_PROC;IMPORTO;DOCUMENTO;TIPO_ATTO_IMPEGNO;NUMERO_ATTO_IMPEGNO;ANNO_COMMISSIONE;ANNO_PAGAMENTO;DIFFERENZA_PAGAMENTO_COMMISSIONE
1;05549710480;A PICCOLI PASSISOCIETA' COOPERATIVA SOCIALE A R.L.;65;SERVIZI ALL'INFANZIA;6340;FATTURA;DD;002689;2012;2012;0
2;02249270485;A.A.P.DI VILLORESI ANDREA E FERRUZZI NEVA;48;SERV.GEST. E MANUT. (EX);13;FATTURA;DD;008528;2012;2012;0
3;02249270485;A.A.P.DI VILLORESI ANDREA E FERRUZZI NEVA;48;SERV.GEST. E MANUT. (EX);16;FATTURA;DD;005917;2012;2012;0
4;02249270485;A.A.P.DI VILLORESI ANDREA E FERRUZZI NEVA;48;SERV.GEST. E MANUT. (EX);27;FATTURA;DD;002253;2010;2012;2
5;01557920483;ABACO DI INNOCENTI E C S.R.L.;5;DIR.CORPO POLIZ.MUN.;405;FATTURA;DD;001235;2012;2012;0
6;01783180480;ABATI LUIGI S.R.L;40;SERV SUPPORTO SCUOLA;10132;FATTURA;DD;010905;2011;2012;1
7;01783180480;ABATI LUIGI S.R.L;40;SERV SUPPORTO SCUOLA;1117;FATTURA;DD;005403;2012;2012;0
8;01783180480;ABATI LUIGI S.R.L;40;SERV SUPPORTO SCUOLA;6765;FATTURA;DD;005403;2012;2012;0
9;01783180480;ABATI LUIGI S.R.L;40;SERV SUPPORTO SCUOLA;11731;FATTURA;DD;010905;2011;2012;1
10;02616950248;ABITAT SRLSISTEMI INFORMATIVI TERRITORIALI;50;SERV.GEST.INFRASTR.TECNOL;2487;FATTURA;DD;005490;2012;2012;0
11;01883740647;ACCA SOFTWARE S.P.A.;7;DIR.NUOVE INFR.E MOBIL;-18;NOTA DI CREDITO;DD;003162;2012;2012;0
12;01883740647;ACCA SOFTWARE S.P.A.;7;DIR.NUOVE INFR.E MOBIL;620;FATTURA;DD;003162;2012;2012;0
13;02179630484;ACCADEMIA EUROPEA DI FIRENZE;18;DIREZ.ISTRUZIONE;21106;FATTURA;DD;009845;2011;2012;1
14;02179630484;ACCADEMIA EUROPEA DI FIRENZE;18;DIREZ.ISTRUZIONE;22481;FATTURA;DD;009845;2011;2012;1
15;02179630484;ACCADEMIA EUROPEA DI FIRENZE;55;SERV.PROMOZ.ECON.TURISTIC;13370;FATTURA;DD;007077;2012;2012;0
16;02179630484;ACCADEMIA EUROPEA DI FIRENZE;55;SERV.PROMOZ.ECON.TURISTIC;6685;FATTURA;DD;007077;2012;2012;0
17;03931440485;ACCADEMIA MUSICALE DI FIRENZESCUOLA DI MUSICA;28;S.ATT.EDUC.E FORMAT.;600;FATTURA;DD;010002;2011;2012;1
18;03931440485;ACCADEMIA MUSICALE DI FIRENZESCUOLA DI MUSICA;28;S.ATT.EDUC.E FORMAT.;8000;FATTURA;DD;010002;2011;2012;1
19;02185260482;ACER GIARDINI;56;SERV.QUALITA' VERDE;89;FATTURA;DD;002602;2011;2012;1
20;04566850287;ACERT DI PAOLO ZAMBUSI;5;DIR.CORPO POLIZ.MUN.;312;FATTURA;DD;007223;2012;2012;0
