NUMERO_MANDATO;BENEFICIARIO;PARTITA_IVA_O_CF;IMPORTO;ATTO_DI_IMPEGNO;DIREZIONE_SERVIZIO_RESP_PROC;DOCUMENTO
016895;A PICCOLI PASSISOCIETA' COOPERATIVA SOCIALE A R.L.;05549710480;6340;DD/12/002689;SERVIZI ALL'INFANZIA;FATTURA
020434;A.A.P.DI VILLORESI ANDREA E FERRUZZI NEVA;02249270485;13,95;DD/12/008528;SERV.GEST. E MANUT. (EX);FATTURA
020432;A.A.P.DI VILLORESI ANDREA E FERRUZZI NEVA;02249270485;16,55;DD/12/005917;SERV.GEST. E MANUT. (EX);FATTURA
015732;A.A.P.DI VILLORESI ANDREA E FERRUZZI NEVA;02249270485;27;DD/10/002253;SERV.GEST. E MANUT. (EX);FATTURA
016382;ABACO DI INNOCENTI E C S.R.L.;01557920483;405,35;DD/12/001235;DIR.CORPO POLIZ.MUN.;FATTURA
019894;ABATI LUIGI S.R.L;01783180480;10132,64;DD/11/010905;SERV SUPPORTO SCUOLA;FATTURA
020022;ABATI LUIGI S.R.L;01783180480;1117,18;DD/12/005403;SERV SUPPORTO SCUOLA;FATTURA
020244;ABATI LUIGI S.R.L;01783180480;6765,26;DD/12/005403;SERV SUPPORTO SCUOLA;FATTURA
015549;ABATI LUIGI S.R.L;01783180480;11731,43;DD/11/010905;SERV SUPPORTO SCUOLA;FATTURA
017079;ABITAT SRLSISTEMI INFORMATIVI TERRITORIALI;02616950248;2487,76;DD/12/005490;SERV.GEST.INFRASTR.TECNOL;FATTURA
016492;ACCA SOFTWARE S.P.A.;01883740647;-18,15;DD/12/003162;DIR.NUOVE INFR.E MOBIL;NOTA DI CREDITO
016492;ACCA SOFTWARE S.P.A.;01883740647;620,73;DD/12/003162;DIR.NUOVE INFR.E MOBIL;FATTURA
022596;ACCADEMIA EUROPEA DI FIRENZE;02179630484;21106,24;DD/11/009845;DIREZ.ISTRUZIONE;FATTURA
014958;ACCADEMIA EUROPEA DI FIRENZE;02179630484;22481,03;DD/11/009845;DIREZ.ISTRUZIONE;FATTURA
021533;ACCADEMIA EUROPEA DI FIRENZE;02179630484;13370,5;DD/12/007077;SERV.PROMOZ.ECON.TURISTIC;FATTURA
023773;ACCADEMIA EUROPEA DI FIRENZE;02179630484;6685,25;DD/12/007077;SERV.PROMOZ.ECON.TURISTIC;FATTURA
015849;ACCADEMIA MUSICALE DI FIRENZESCUOLA DI MUSICA;03931440485;600;DD/11/010002;S.ATT.EDUC.E FORMAT.;FATTURA
015850;ACCADEMIA MUSICALE DI FIRENZESCUOLA DI MUSICA;03931440485;8000;DD/11/010002;S.ATT.EDUC.E FORMAT.;FATTURA
020248;ACER GIARDINI;02185260482;89,25;DD/11/002602;SERV.QUALITA' VERDE;FATTURA
022643;ACERT DI PAOLO ZAMBUSI;04566850287;312,18;DD/12/007223;DIR.CORPO POLIZ.MUN.;FATTURA
014086;A.C.F. FIRENZE A.S.D;03555130487;445;DD/12/002127;SERVIZIO SPORT;FATTURA
014085;A.C.F. FIRENZE A.S.D;03555130487;650;DD/12/001594;SERVIZIO SPORT;FATTURA
013696;A.C.F. FIRENZE A.S.D;03555130487;650;DD/12/001051;SERVIZIO SPORT;FATTURA
014116;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;1041,46;DD/11/005726;SERV.GEST. E MANUT. (EX);FATTURA
017767;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;13163,05;DD/12/000291;SERV.GEST. E MANUT. (EX);FATTURA
017782;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;1322,01;DD/12/000305;SERV.GEST. E MANUT. (EX);FATTURA
017781;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;763,71;DD/12/000305;SERV.GEST. E MANUT. (EX);FATTURA
017778;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;2397,71;DD/12/000305;SERV.GEST. E MANUT. (EX);FATTURA
017779;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;704,64;DD/12/000305;SERV.GEST. E MANUT. (EX);FATTURA
017780;ACS AUTOMATISMIDI TURCHI MONICA;04094120484;1098,22;DD/12/000305;SERV.GEST. E MANUT. (EX);FATTURA
022233;ACTALIS S.P.A.;03358520967;529,38;DD/12/001750;DIR.SIST.INFORMATIVI;FATTURA
016497;ACTALIS S.P.A.;03358520967;6273,25;DD/12/001750;DIR.SIST.INFORMATIVI;FATTURA
018216;ADARTE ASSOCIAZIONE DANZA ARTETEATRO;01067020527;2649,9;DD/11/010002;S.ATT.EDUC.E FORMAT.;FATTURA
023774;Ad.D  Advertising DistributionADVERTISING DISTRIBUTION;05439000489;278,3;DD/12/009454;SERV.BIBL.ARCH.EVENT;FATTURA
017355;ADS S.P.A.;00890370372;15125;DD/07/012716;DIR.SIST.INFORMATIVI;FATTURA
018074;ADS S.P.A.;00890370372;2197,68;DD/07/008920;DIREZ. RISORSE UMANE;FATTURA
016495;ADS S.P.A.;00890370372;90495,9;DD/12/004576;DIR.SIST.INFORMATIVI;FATTURA
021281;ADS S.P.A.;00890370372;700;DD/10/011832;DIREZ. RISORSE UMANE;FATTURA
023362;AESSE MISURE SRL;10804070158;411,4;DD/12/007223;DIR.CORPO POLIZ.MUN.;FATTURA
019320;AFFITTACAMERE VANNUCCI MARTA;04006490488;400;DD/12/006386;S.FAMIGLIA E ACCOGL.;FATTURA
017262;AFFITTACAMERE VANNUCCI MARTA;04006490488;400;DD/12/006326;S.FAMIGLIA E ACCOGL.;FATTURA
017266;AFFITTACAMERE VANNUCCI MARTA;04006490488;400;DD/12/006326;DIR.SERV.SOCIALI;FATTURA
017376;AFFITTACAMERE VANNUCCI MARTA;04006490488;400;DD/12/006326;DIR.SERV.SOCIALI;FATTURA
021703;AFFITTACAMERE VANNUCCI MARTA;04006490488;400;DD/12/007207;S.FAMIGLIA E ACCOGL.;FATTURA
